"crop","indicator","rank","Resid_dev","Resid_df","AIC","AICc","deltaAICc","weight","R2","logLik"
"bean","NH4",1,46456152.6672749,37,680.120683384033,681.26354052689,0,0.711425415545246,0.393837594466368,-336.060341692017
"bean","Mn",2,52504555.3570884,37,685.016324191981,686.159181334838,4.89564080794753,0.06152540512636,0.314917707355783,-338.50816209599
"bean","totalN",3,52712201.8954074,37,685.174205360965,686.317062503822,5.05352197693162,0.0568553086911075,0.31220832403535,-338.587102680482
"bean","Cu",4,54028621.0022313,37,686.160883798943,687.3037409418,6.04020041490958,0.0347149481814075,0.295031615964022,-339.080441899471
"bean","P",5,54286151.0936926,37,686.351092814208,687.493949957065,6.23040943017418,0.0315655352859012,0.291671349330331,-339.175546407104
"bean","POXC",6,55348962.1230324,37,687.126643122952,688.269500265809,7.00595973891859,0.0214192642462194,0.277803733241104,-339.563321561476
"bean","Ca",7,55652834.6428995,37,687.345647346533,688.48850448939,7.22496396249949,0.0191976639761593,0.273838788082226,-339.672823673266
"bean","Mg",8,55919102.826972,37,687.536568967592,688.679426110449,7.41588558355852,0.0174497931235413,0.270364506341109,-339.768284483796
"bean","K",9,56127235.9407459,37,687.685174164659,688.828031307516,7.56449078062542,0.0162002260308119,0.267648774157689,-339.842587082329
"bean","Zn",10,56247993.2255691,37,687.771141388717,688.913998531574,7.65045800468374,0.0155186353534349,0.266073126540496,-339.885570694359
"bean","EC",11,56512689.3670501,37,687.958934950506,689.101792093363,7.83825156647276,0.0141278044398112,0.262619356896576,-339.979467475253
"bean","SOC",12,72569723.2335223,56,1020.61545169887,1021.72656280999,340.463022283095,8.34686599940581e-75,0.575953999109094,-505.307725849437
"bean","SLAKES",13,77897355.1777495,56,1024.8661037768,1025.97721488791,344.713674361024,9.965660097102e-76,0.544823096034014,-507.433051888401
"bean","BD",14,78603971.1694913,56,1025.40791704572,1026.51902815683,345.255487629937,7.60068639670305e-76,0.540694133263969,-507.703958522858
"bean","pH",15,78868316.2338986,56,1025.60935844248,1026.72046955359,345.456929026696,6.87243071959062e-76,0.539149488163747,-507.804679221238
"carrot1","Mg",1,76497564.6272278,37,700.070683025889,701.213540168746,0,0.661266907492328,0.514104682260139,-346.035341512945
"carrot1","K",2,81739438.777146,37,702.72179129684,703.864648439697,2.651108270951,0.175669329175758,0.480809477137748,-347.36089564842
"carrot1","POXC",3,85373885.7939012,37,704.461937493407,705.604794636265,4.39125446751802,0.0735915580002886,0.457724287476869,-348.230968746704
"carrot1","EC",4,87527377.5226711,37,705.458392026321,706.601249169178,5.38770900043176,0.0447147333124022,0.444045792574452,-348.729196013161
"carrot1","P",5,88723660.2934476,37,706.00139076559,707.144247908447,5.93070773970101,0.0340831689064194,0.436447273590931,-349.000695382795
"carrot1","Mn",6,100977752.514299,37,711.176335628073,712.31919277093,11.1056526021832,0.00256339166493116,0.35861203710623,-351.588167814036
"carrot1","Cu",7,102337554.066936,37,711.71139493128,712.854252074137,11.6407119053905,0.00196168068693039,0.349974883613806,-351.85569746564
"carrot1","NH4",8,103001736.616362,37,711.970160748009,713.113017890866,11.8994777221194,0.00172360614294356,0.345756145508046,-351.985080374004
"carrot1","Ca",9,103091198.360426,37,712.004887508416,713.147744651273,11.9342044825266,0.00169393683926769,0.345187904639608,-352.002443754208
"carrot1","Zn",10,104080948.693604,37,712.387084778588,713.529941921445,12.316401752699,0.00139927840043633,0.338901233227693,-352.193542389294
"carrot1","totalN",11,104336091.714543,37,712.485020397632,713.627877540489,12.4143373717429,0.00133240937829467,0.337280622168606,-352.242510198816
"carrot1","SOC",12,117058944.915514,56,1049.3032403668,1050.41435147791,349.200811309165,9.82616552097809e-77,0.496633464291501,-519.6516201834
"carrot1","pH",13,127182881.58336,56,1054.28014751523,1055.39125862634,354.177718457595,8.15947882611896e-78,0.453099406027917,-522.140073757615
"carrot1","BD",14,129096167.031861,56,1055.17604017885,1056.28715128996,355.073611121214,5.21340902798775e-78,0.44487206493298,-522.588020089425
"carrot1","SLAKES",15,129573789.499425,56,1055.39761504596,1056.50872615707,355.295185988325,4.66667362595921e-78,0.442818234983906,-522.69880752298
"kale","BD",1,10961199.3140087,37,622.354794890142,623.497652032999,0,0.524165167936735,0.130068329129216,-307.177397445071
"kale","SOC",2,11303499.6276382,37,623.58482198365,624.727679126507,1.23002709350772,0.283381286760733,0.10290178692477,-307.792410991825
"kale","pH",3,11677005.5037213,37,624.885189467329,626.028046610186,2.5303945771866,0.14791082406269,0.0732586263952716,-308.442594733664
"kale","SLAKES",4,12399170.8842339,37,627.285511058419,628.428368201276,4.93071616827683,0.0445427212398421,0.0159442287534475,-309.64275552921
