year,treatment,variable,mean,se
2022,1,bean,3514.675,146.882
2022,2,bean,2987.9,306.976
2022,3,bean,2946.525,400.982
2022,4,bean,2272.9,395.793
2022,5,bean,2467.45,562.1
2023,1,bean,5716.55,714.134
2023,2,bean,6202.4,653.808
2023,3,bean,5347.925,545.47
2023,4,bean,6111.175,532.844
2023,5,bean,5987.65,427.436
2024,1,bean,3276.7,965.589
2024,2,bean,4305.875,742.756
2024,3,bean,3790.35,950.576
2024,4,bean,5242.025,504.275
2024,5,bean,4662.8,482.1
2022,1,carrot1,3122.775,791.172
2022,2,carrot1,3160.575,450.152
2022,3,carrot1,2257.75,298.018
2022,4,carrot1,2258.325,337.362
2022,5,carrot1,2290.1,353.845
2023,1,carrot1,5843.7,700.64
2023,2,carrot1,5365.7,485.918
2023,3,carrot1,5929.375,858.157
2023,4,carrot1,6063.45,721.071
2023,5,carrot1,5170.15,205.479
2024,1,carrot1,5570,443.724
2024,2,carrot1,6782.775,1213.852
2024,3,carrot1,4364.775,1163.343
2024,4,carrot1,3114,1133.455
2024,5,carrot1,4765.2,663.523
2022,1,kale,46.3,5.66
2022,2,kale,43.15,8.994
2022,3,kale,49.15,5.257
2022,4,kale,47.825,4.595
2022,5,kale,65.675,6.577
2023,1,kale,1030.675,262.097
2023,2,kale,1510.4,269.342
2023,3,kale,767.475,296.079
2023,4,kale,1072.2,141.14
2023,5,kale,547.175,245.337
2024,1,kale,1228.625,308.446
2024,2,kale,983.575,55.122
2024,3,kale,1791.625,438.812
2024,4,kale,925.175,131.967
2024,5,kale,675.425,60.368
2022,1,totalYield,2227.917,526.816
2022,2,totalYield,2063.875,461.577
2022,3,totalYield,1751.142,401.937
2022,4,totalYield,1526.35,352.077
2022,5,totalYield,1607.742,385.585
2023,1,totalYield,4196.975,743.762
2023,2,totalYield,4359.5,668.206
2023,3,totalYield,4014.925,765.8
2023,4,totalYield,4415.608,763.566
2023,5,totalYield,3901.658,739.949
2024,1,totalYield,3358.442,630.223
2024,2,totalYield,4024.075,835.191
2024,3,totalYield,3315.583,577.277
2024,4,totalYield,3093.733,651.048
2024,5,totalYield,3367.808,625.412
