year,treatment,variable,mean,se
T0,1,BD,0.816,0.067
T0,2,BD,0.808,0.065
T0,3,BD,0.926,0.026
T0,4,BD,0.966,0.056
T0,5,BD,0.955,0.016
2022,1,BD,1.001,0.017
2022,2,BD,0.984,0.031
2022,3,BD,0.869,0.029
2022,4,BD,0.925,0.023
2022,5,BD,0.957,0.035
2023,1,BD,0.99,0.025
2023,2,BD,0.935,0.038
2023,3,BD,0.864,0.033
2023,4,BD,0.908,0.029
2023,5,BD,0.953,0.034
2024,1,BD,0.953,0.035
2024,2,BD,0.914,0.036
2024,3,BD,0.843,0.024
2024,4,BD,0.865,0.033
2024,5,BD,0.874,0.038
T0,1,Ca,4284.25,199.527
T0,2,Ca,4174,245.117
T0,3,Ca,3949,119.438
T0,4,Ca,4457,83.235
T0,5,Ca,4491.25,161.252
2022,1,Ca,4186.417,176.692
2022,2,Ca,4375.75,202.502
2022,3,Ca,4148.917,113.115
2022,4,Ca,5140.167,163.336
2022,5,Ca,4920.083,164.246
2023,1,Ca,NA,NA
2023,2,Ca,NA,NA
2023,3,Ca,NA,NA
2023,4,Ca,NA,NA
2023,5,Ca,NA,NA
2024,1,Ca,3790.5,96.185
2024,2,Ca,3936.917,80.711
2024,3,Ca,3815.167,74.966
2024,4,Ca,4323.417,193.166
2024,5,Ca,3905.333,144.862
T0,1,Cu,3.547,0.28
T0,2,Cu,4.013,0.633
T0,3,Cu,3.458,0.113
T0,4,Cu,4.307,0.276
T0,5,Cu,3.458,0.334
2022,1,Cu,3.105,0.158
2022,2,Cu,3.25,0.182
2022,3,Cu,3.252,0.172
2022,4,Cu,3.607,0.183
2022,5,Cu,3.385,0.19
2023,1,Cu,NA,NA
2023,2,Cu,NA,NA
2023,3,Cu,NA,NA
2023,4,Cu,NA,NA
2023,5,Cu,NA,NA
2024,1,Cu,2.896,0.145
2024,2,Cu,3.147,0.218
2024,3,Cu,3.393,0.191
2024,4,Cu,3.452,0.235
2024,5,Cu,3.153,0.19
T0,1,EC,0.157,0.015
T0,2,EC,0.138,0.01
T0,3,EC,0.155,0.011
T0,4,EC,0.171,0.011
T0,5,EC,0.144,0.015
2022,1,EC,0.122,0.01
2022,2,EC,0.111,0.009
2022,3,EC,0.117,0.01
2022,4,EC,0.115,0.007
2022,5,EC,0.107,0.009
2023,1,EC,NA,NA
2023,2,EC,NA,NA
2023,3,EC,NA,NA
2023,4,EC,NA,NA
2023,5,EC,NA,NA
2024,1,EC,0.122,0.007
2024,2,EC,0.13,0.007
2024,3,EC,0.165,0.006
2024,4,EC,0.164,0.009
2024,5,EC,0.15,0.009
T0,1,K,275.5,31.991
T0,2,K,270.5,55.2
T0,3,K,290.25,33.718
T0,4,K,244.333,25.314
T0,5,K,311.25,51.365
2022,1,K,308.167,60.946
2022,2,K,232.667,32.895
2022,3,K,382.333,46.812
2022,4,K,335.167,59.113
2022,5,K,361.083,56.401
2023,1,K,NA,NA
2023,2,K,NA,NA
2023,3,K,NA,NA
2023,4,K,NA,NA
2023,5,K,NA,NA
2024,1,K,191.617,29.776
2024,2,K,179.333,14.89
2024,3,K,399.65,29.189
2024,4,K,349.475,39.454
2024,5,K,350.158,36.644
T0,1,Mg,164.75,11.933
T0,2,Mg,160.25,12.809
T0,3,Mg,160,14.451
T0,4,Mg,153,5.859
T0,5,Mg,165.25,7.364
2022,1,Mg,165.833,9.672
2022,2,Mg,158.833,8.975
2022,3,Mg,197.917,11.687
2022,4,Mg,196.833,15.754
2022,5,Mg,206.5,16.601
2023,1,Mg,NA,NA
2023,2,Mg,NA,NA
2023,3,Mg,NA,NA
2023,4,Mg,NA,NA
2023,5,Mg,NA,NA
2024,1,Mg,140.983,5.133
2024,2,Mg,139.192,4.948
2024,3,Mg,222.117,10.039
2024,4,Mg,214.525,14.79
2024,5,Mg,211.775,11.545
T0,1,Mn,39.425,4.057
T0,2,Mn,39.975,4.959
T0,3,Mn,35.45,0.486
T0,4,Mn,56,1.769
T0,5,Mn,41.6,4.616
2022,1,Mn,37.317,2.28
2022,2,Mn,36.675,3.196
2022,3,Mn,38.342,2.563
2022,4,Mn,49.9,2.776
2022,5,Mn,50.283,3.005
2023,1,Mn,NA,NA
2023,2,Mn,NA,NA
2023,3,Mn,NA,NA
2023,4,Mn,NA,NA
2023,5,Mn,NA,NA
2024,1,Mn,27.275,1.858
2024,2,Mn,31.217,1.952
2024,3,Mn,33.033,2.008
2024,4,Mn,42.692,2.369
2024,5,Mn,41.967,2.688
T0,1,NH4,5.173,0.156
T0,2,NH4,4.805,0.148
T0,3,NH4,5.015,0.301
T0,4,NH4,5.045,0.423
T0,5,NH4,4.86,0.194
2022,1,NH4,5.842,0.346
2022,2,NH4,6.083,0.492
2022,3,NH4,6.246,0.599
2022,4,NH4,5.679,0.222
2022,5,NH4,5.686,0.646
2023,1,NH4,NA,NA
2023,2,NH4,NA,NA
2023,3,NH4,NA,NA
2023,4,NH4,NA,NA
2023,5,NH4,NA,NA
2024,1,NH4,4.699,0.209
2024,2,NH4,5.188,0.482
2024,3,NH4,5.378,0.354
2024,4,NH4,4.526,0.317
2024,5,NH4,4.421,0.264
T0,1,P,54.875,3.216
T0,2,P,56.55,4.857
T0,3,P,55,1.236
T0,4,P,50.433,3.167
T0,5,P,50.4,4.444
2022,1,P,70.275,5.946
2022,2,P,69.958,4.869
2022,3,P,70.033,3.72
2022,4,P,68.317,5.896
2022,5,P,65.025,5.623
2023,1,P,NA,NA
2023,2,P,NA,NA
2023,3,P,NA,NA
2023,4,P,NA,NA
2023,5,P,NA,NA
2024,1,P,54.667,3.316
2024,2,P,61.925,3.059
2024,3,P,74.2,3.812
2024,4,P,68.267,5.189
2024,5,P,64.375,5.9
T0,1,POXC,795.275,17.523
T0,2,POXC,899.289,55.012
T0,3,POXC,893.202,20.666
T0,4,POXC,945.373,22.955
T0,5,POXC,877.151,55.729
2022,1,POXC,915.495,24.656
2022,2,POXC,955.547,36.958
2022,3,POXC,981.752,38.227
2022,4,POXC,920.132,24.457
2022,5,POXC,915.666,30.968
2023,1,POXC,NA,NA
2023,2,POXC,NA,NA
2023,3,POXC,NA,NA
2023,4,POXC,NA,NA
2023,5,POXC,NA,NA
2024,1,POXC,656.708,28.991
2024,2,POXC,718.692,34.233
2024,3,POXC,815.425,32.602
2024,4,POXC,791.675,19.32
2024,5,POXC,755.583,23.803
T0,1,SOC,3.148,0.291
T0,2,SOC,3.26,0.576
T0,3,SOC,2.958,0.176
T0,4,SOC,2.55,0.141
T0,5,SOC,3.252,0.667
2022,1,SOC,2.959,0.138
2022,2,SOC,3.411,0.432
2022,3,SOC,3.674,0.294
2022,4,SOC,3.263,0.173
2022,5,SOC,3.231,0.178
2023,1,SOC,3.872,0.395
2023,2,SOC,4.194,0.293
2023,3,SOC,4.184,0.33
2023,4,SOC,4.383,0.338
2023,5,SOC,3.908,0.308
2024,1,SOC,3.155,0.194
2024,2,SOC,3.557,0.311
2024,3,SOC,4.367,0.182
2024,4,SOC,4.098,0.118
2024,5,SOC,3.811,0.225
T0,1,Zn,103.9,8.208
T0,2,Zn,88.35,25.555
T0,3,Zn,74.6,15.291
T0,4,Zn,59.833,1.405
T0,5,Zn,105.65,30.632
2022,1,Zn,61.683,18.789
2022,2,Zn,113.617,34.942
2022,3,Zn,82.367,20.073
2022,4,Zn,62.208,14.958
2022,5,Zn,53.458,10.691
2023,1,Zn,NA,NA
2023,2,Zn,NA,NA
2023,3,Zn,NA,NA
2023,4,Zn,NA,NA
2023,5,Zn,NA,NA
2024,1,Zn,54.642,10.202
2024,2,Zn,79.908,22.679
2024,3,Zn,74.792,18.25
2024,4,Zn,48.592,9.136
2024,5,Zn,47.808,9.523
T0,1,pH,6.76,0.118
T0,2,pH,6.66,0.079
T0,3,pH,6.707,0.083
T0,4,pH,7.053,0.057
T0,5,pH,6.77,0.104
2022,1,pH,6.634,0.089
2022,2,pH,6.751,0.049
2022,3,pH,6.735,0.065
2022,4,pH,6.998,0.035
2022,5,pH,6.906,0.043
2023,1,pH,6.832,0.087
2023,2,pH,6.861,0.053
2023,3,pH,6.899,0.033
2023,4,pH,6.971,0.071
2023,5,pH,6.97,0.036
2024,1,pH,6.81,0.066
2024,2,pH,6.843,0.055
2024,3,pH,6.899,0.034
2024,4,pH,6.971,0.026
2024,5,pH,6.831,0.066
T0,1,totalN,0.273,0.012
T0,2,totalN,0.276,0.027
T0,3,totalN,0.272,0.011
T0,4,totalN,0.236,0.014
T0,5,totalN,0.258,0.03
2022,1,totalN,0.27,0.008
2022,2,totalN,0.279,0.02
2022,3,totalN,0.305,0.016
2022,4,totalN,0.254,0.011
2022,5,totalN,0.27,0.013
2023,1,totalN,NA,NA
2023,2,totalN,NA,NA
2023,3,totalN,NA,NA
2023,4,totalN,NA,NA
2023,5,totalN,NA,NA
2024,1,totalN,0.266,0.01
2024,2,totalN,0.293,0.013
2024,3,totalN,0.349,0.013
2024,4,totalN,0.278,0.008
2024,5,totalN,0.279,0.011
